KANTONSNUM,NAME,KUERZEL,HERKUNFT,REVISION_J,REVISION_M
"1",Zürich,ZH,AV,"2020","1"
"2",Bern,BE,AV,"2020","1"
"3",Luzern,LU,swisstopo,"2020","1"
"4",Uri,UR,swisstopo,"2020","1"
"5",Schwyz,SZ,swisstopo,"2020","1"
"6",Obwalden,OW,AV,"2020","1"
"7",Nidwalden,NW,swisstopo,"2020","1"
"8",Glarus,GL,swisstopo,"2020","1"
"9",Zug,ZG,AV,"2020","1"
"10",Fribourg,FR,AV,"2020","1"
"11",Solothurn,SO,AV,"2020","1"
"12",Basel-Stadt,BS,AV,"2020","1"
"13",Basel-Landschaft,BL,AV,"2020","1"
"14",Schaffhausen,SH,AV,"2020","1"
"15",Appenzell Ausserrhoden,AR,AV,"2020","1"
"16",Appenzell Innerrhoden,AI,AV,"2020","1"
"17",St. Gallen,SG,AV,"2020","1"
"18",Graubünden,GR,AV,"2020","1"
"19",Aargau,AG,AV,"2020","1"
"20",Thurgau,TG,AV,"2020","1"
"21",Ticino,TI,AV,"2020","1"
"22",Vaud,VD,AV,"2020","1"
"23",Valais,VS,AV,"2020","1"
"24",Neuchâtel,NE,AV,"2020","1"
"25",Genève,GE,AV,"2020","1"
"26",Jura,JU,AV,"2020","1"
